iter	Accuracy_SumError	Accuracy_SumWeight	Logloss_SumError	Logloss_SumWeight
0	3210	3876	2686.636526	3876
1	3210	3876	2686.25135	3876
2	3211	3876	2685.547222	3876
3	3211	3876	2684.461099	3876
4	3211	3876	2683.286445	3876
5	3211	3876	2681.708336	3876
6	3211	3876	2679.958262	3876
7	3211	3876	2678.192717	3876
8	3211	3876	2675.886616	3876
9	3211	3876	2673.619376	3876
10	3211	3876	2670.996393	3876
11	3211	3876	2668.570889	3876
12	3211	3876	2665.681994	3876
13	3211	3876	2662.761318	3876
14	3211	3876	2659.582475	3876
15	3211	3876	2657.254665	3876
16	3211	3876	2655.186827	3876
17	3211	3876	2653.09269	3876
18	3211	3876	2649.795299	3876
19	3211	3876	2647.151697	3876
20	3211	3876	2643.769359	3876
21	3211	3876	2640.203827	3876
22	3211	3876	2638.213708	3876
23	3211	3876	2635.988042	3876
24	3211	3876	2632.902806	3876
25	3211	3876	2628.388972	3876
26	3211	3876	2626.358618	3876
27	3211	3876	2622.58308	3876
28	3211	3876	2618.541474	3876
29	3211	3876	2616.190512	3876
30	3211	3876	2612.073563	3876
31	3211	3876	2607.453037	3876
32	3211	3876	2603.555916	3876
33	3211	3876	2599.375016	3876
34	3211	3876	2597.170877	3876
35	3211	3876	2595.161606	3876
36	3211	3876	2589.747081	3876
37	3211	3876	2584.406802	3876
38	3211	3876	2580.336209	3876
39	3211	3876	2576.987559	3876
40	3211	3876	2573.641502	3876
41	3211	3876	2569.999239	3876
42	3211	3876	2566.401532	3876
43	3211	3876	2561.471508	3876
44	3211	3876	2557.7441	3876
45	3211	3876	2553.378689	3876
46	3211	3876	2548.197951	3876
47	3211	3876	2544.940828	3876
48	3211	3876	2539.985581	3876
49	3211	3876	2535.970447	3876
50	3211	3876	2529.376029	3876
51	3211	3876	2525.887448	3876
52	3211	3876	2522.024696	3876
53	3211	3876	2518.022696	3876
54	3211	3876	2513.328386	3876
55	3211	3876	2509.540997	3876
56	3211	3876	2506.057069	3876
57	3211	3876	2502.487322	3876
58	3211	3876	2500.65717	3876
59	3211	3876	2497.404263	3876
60	3211	3876	2494.296234	3876
61	3211	3876	2491.12522	3876
62	3211	3876	2487.591505	3876
63	3211	3876	2483.343732	3876
64	3211	3876	2478.741537	3876
65	3211	3876	2474.125288	3876
66	3211	3876	2471.108189	3876
67	3211	3876	2467.643819	3876
68	3211	3876	2464.489975	3876
69	3211	3876	2461.039498	3876
70	3211	3876	2455.481637	3876
71	3211	3876	2451.902658	3876
72	3211	3876	2446.450385	3876
73	3211	3876	2440.519742	3876
74	3211	3876	2435.74384	3876
75	3211	3876	2434.153518	3876
76	3211	3876	2432.269149	3876
77	3211	3876	2427.656695	3876
78	3211	3876	2423.671695	3876
79	3211	3876	2420.530383	3876
80	3211	3876	2418.542573	3876
81	3211	3876	2415.965989	3876
82	3211	3876	2413.194816	3876
83	3211	3876	2409.316884	3876
84	3211	3876	2403.895155	3876
85	3211	3876	2401.673612	3876
86	3211	3876	2398.580785	3876
87	3211	3876	2394.794722	3876
88	3211	3876	2390.173874	3876
89	3211	3876	2386.527307	3876
90	3211	3876	2383.961664	3876
91	3211	3876	2376.622622	3876
92	3211	3876	2371.291182	3876
93	3211	3876	2367.318927	3876
94	3211	3876	2363.407101	3876
95	3211	3876	2358.995026	3876
96	3211	3876	2354.325604	3876
97	3211	3876	2352.156082	3876
98	3211	3876	2348.844346	3876
99	3211	3876	2344.725973	3876
100	3211	3876	2340.54498	3876
