iter	Passed	Remaining
0	36	1103520
1	67	1008844
2	133	1336203
3	155	1166272
4	172	1036528
5	227	1138017
6	246	1057069
7	283	1061994
8	302	1006759
9	362	1087724
10	420	1145397
11	450	1126118
12	509	1174795
13	544	1166598
14	565	1129771
15	624	1171055
16	653	1151917
17	714	1189290
18	782	1234746
19	805	1207888
20	864	1233676
21	895	1220078
22	952	1240877
23	1012	1264060
24	1026	1230681
25	1090	1256900
26	1123	1247197
27	1143	1224527
28	1164	1203133
29	1192	1190903
30	1253	1211736
31	1274	1193770
32	1293	1174897
33	1332	1174487
34	1399	1198219
35	1423	1184506
36	1443	1168957
37	1457	1149431
38	1482	1138952
39	1511	1132155
40	1526	1115124
41	1547	1103488
42	1607	1120145
43	1672	1138606
44	1708	1137355
45	1774	1155669
46	1829	1165650
47	1866	1164641
48	1900	1161914
49	1954	1170459
50	1975	1160066
51	2001	1152877
52	2038	1151787
53	2060	1142836
54	2073	1128933
55	2130	1139062
56	2159	1134489
57	2176	1123700
58	2238	1136040
59	2266	1131042
60	2279	1118665
61	2311	1116185
