,period,ratio,keywords,counts
0,2016-01-01,5.82272,에잇퍼센트,3174.8190056000344
1,2016-02-01,2.78747,에잇퍼센트,1519.858886145981
2,2016-03-01,3.90809,에잇퍼센트,2130.873270154745
3,2016-04-01,5.54116,에잇퍼센트,3021.2993379504223
4,2016-05-01,3.04088,에잇퍼센트,1658.0298585109763
5,2016-06-01,3.39565,에잇퍼센트,1851.4670388350728
6,2016-07-01,3.48012,에잇퍼센트,1897.5240296234047
7,2016-08-01,3.25487,에잇퍼센트,1774.7072050102672
8,2016-09-01,3.93625,에잇퍼센트,2146.2274179066026
9,2016-10-01,3.4407,에잇퍼센트,1876.0304037577005
10,2016-11-01,2.14551,에잇퍼센트,1169.8322991153495
11,2016-12-01,9.31974,에잇퍼센트,5081.55770486145
12,2017-01-01,100.0,에잇퍼센트,54524.67241426746
13,2017-02-01,48.62034,에잇퍼센트,26510.081111703046
14,2017-03-01,35.76416,에잇퍼센트,19500.291081714473
15,2017-04-01,53.50827,에잇퍼센트,29175.20893204175
16,2017-05-01,25.4871,에잇퍼센트,13896.757782896762
17,2017-06-01,15.93647,에잇퍼센트,8689.30806189801
18,2017-07-01,16.9501,에잇퍼센트,9241.986498890748
19,2017-08-01,14.17952,에잇퍼센트,7731.336829915537
20,2017-09-01,12.67597,에잇퍼센트,6911.531117830818
21,2017-10-01,11.98333,에잇퍼센트,6533.871426820637
22,2017-11-01,13.33483,에잇퍼센트,7270.772374499461
23,2017-12-01,12.54082,에잇퍼센트,6837.841023062936
24,2018-01-01,21.25239,에잇퍼센트,11587.796027702534
25,2018-02-01,20.93704,에잇퍼센트,11415.852473244144
26,2018-03-01,19.60806,에잇퍼센트,10691.23048179301
27,2018-04-01,33.20756,에잇퍼센트,18106.313306771313
28,2018-05-01,26.51762,에잇퍼센트,14458.64543706027
29,2018-06-01,12.36625,에잇퍼센트,6742.65730242935
30,2018-07-01,15.36772,에잇퍼센트,8379.198987541862
31,2018-08-01,25.96576,에잇퍼센트,14157.745579874892
32,2018-09-01,21.56774,에잇퍼센트,11759.739582160928
33,2018-10-01,27.18774,에잇퍼센트,14824.02617184276
34,2018-11-01,25.12107,에잇퍼센트,13697.181124458817
35,2018-12-01,24.60862,에잇퍼센트,13417.769440671904
36,2019-01-01,26.23606,에잇퍼센트,14305.125769410657
37,2019-02-01,27.67203,에잇퍼센트,15088.083707877815
38,2019-03-01,15.68307,에잇퍼센트,8551.142542000256
39,2019-04-01,10.99786,에잇퍼센트,5996.547137579754
40,2019-05-01,11.83691,에잇퍼센트,6454.036401471666
41,2019-06-01,10.51357,에잇퍼센트,5732.489601544698
42,2019-07-01,10.58677,에잇퍼센트,5772.401661751943
43,2019-08-01,10.17569,에잇퍼센트,5548.261638391372
44,2019-09-01,9.06633,에잇퍼센트,4943.386732496455
45,2019-10-01,10.57551,에잇퍼센트,5766.262183638096
46,2019-11-01,11.21184,에잇퍼센트,6113.219031611805
47,2019-12-01,14.951,에잇퍼센트,8151.983772657128
48,2020-01-01,14.99042,에잇퍼센트,8173.477398522832
49,2020-02-01,23.99481,에잇퍼센트,13083.09154892589
50,2020-03-01,31.46187,에잇퍼센트,17154.48155290269
51,2020-04-01,15.08052,에잇퍼센트,8222.604128368086
52,2020-05-01,9.64072,에잇퍼센트,5256.570998376766
53,2020-06-01,9.78713,에잇퍼센트,5336.400571258494
54,2020-07-01,10.00675,에잇퍼센트,5456.147656814709
55,2020-08-01,9.22401,에잇퍼센트,5029.361235959272
56,2020-09-01,9.8716,에잇퍼센트,5382.457562046827
57,2020-10-01,7.53463,에잇퍼센트,4108.23232512712
58,2020-11-01,8.41874,에잇퍼센트,4590.2904064089
59,2020-12-01,8.13717,에잇퍼센트,4436.765286292047
60,2021-01-01,10.82892,에잇퍼센트,5904.433156003091
61,2021-02-01,8.55952,에잇퍼센트,4667.050240233705
62,2021-03-01,9.46615,에잇퍼센트,5161.387277743179
63,2021-04-01,7.10665,에잇퍼센트,3874.877632128538
64,2021-05-01,7.91755,에잇퍼센트,4317.0182007358335
65,2021-06-01,12.81112,에잇퍼센트,6985.221212598702
66,2021-07-01,9.02128,에잇퍼센트,4918.823367573827
67,2021-08-01,8.90866,에잇퍼센트,4857.417681500879
68,2021-09-01,8.81292,에잇퍼센트,4805.215760131459
69,2021-10-01,10.00112,에잇퍼센트,5453.077917757785
70,2021-11-01,9.20148,에잇퍼센트,5017.076827264337
71,2021-12-01,9.74208,에잇퍼센트,5311.8372063358665
72,2022-01-01,10.28268,에잇퍼센트,5606.597585407397
73,2022-02-01,10.0687,에잇퍼센트,5489.925691375347
74,2022-03-01,14.20768,에잇퍼센트,7746.690977667395
75,2022-04-01,12.64218,에잇퍼센트,6893.107231022037
76,2022-05-01,11.16679,에잇퍼센트,6088.655666689177
77,2022-06-01,11.02601,에잇퍼센트,6011.895832864371
78,2022-07-01,9.15643,에잇퍼센트,4992.51346234171
79,2022-08-01,10.40094,에잇퍼센트,5671.07846300451
80,2022-09-01,9.97296,에잇퍼센트,5437.723770005928
81,2022-10-01,10.80076,에잇퍼센트,5889.079008251234
82,2022-11-01,3.99819,에잇퍼센트,2180.0
